Day,entity_id,Name,Observed Sales,Observed Transactions,Observed Customers,Sales per Customer,Average Transaction Value,Transactions per Customer
2019-11-20,DocuSign,DocuSign Inc,14245.59,102.0,101.0,141.05,139.66,1.01
2019-11-21,DocuSign,DocuSign Inc,12897.11,104.0,102.0,126.44,124.01,1.02
2019-11-22,DocuSign,DocuSign Inc,13141.66,90.0,90.0,146.02,146.02,1.0
2019-11-23,DocuSign,DocuSign Inc,19515.52,118.0,107.0,182.39,165.39,1.1
2019-11-24,DocuSign,DocuSign Inc,542.55,5.0,4.0,135.64,108.51,1.25
2019-11-25,DocuSign,DocuSign Inc,6922.52,134.0,134.0,51.66,51.66,1.0
2019-11-26,DocuSign,DocuSign Inc,4494.17,80.0,76.0,59.13,56.18,1.05
2019-11-27,DocuSign,DocuSign Inc,9085.24,123.0,106.0,85.71,73.86,1.16
2019-11-28,DocuSign,DocuSign Inc,5700.31,81.0,80.0,71.25,70.37,1.01
2019-11-29,DocuSign,DocuSign Inc,9143.61,88.0,88.0,103.9,103.9,1.0
2019-11-30,DocuSign,DocuSign Inc,5730.2,75.0,73.0,78.5,76.4,1.03
2019-12-01,DocuSign,DocuSign Inc,7963.6,103.0,103.0,77.32,77.32,1.0
2019-12-02,DocuSign,DocuSign Inc,4317.23,20.0,20.0,215.86,215.86,1.0
2019-12-03,DocuSign,DocuSign Inc,12577.76,158.0,154.0,81.67,79.61,1.03
2019-12-04,DocuSign,DocuSign Inc,6907.19,98.0,98.0,70.48,70.48,1.0
2019-12-05,DocuSign,DocuSign Inc,11277.25,83.0,83.0,135.87,135.87,1.0
2019-12-06,DocuSign,DocuSign Inc,7372.91,101.0,101.0,73.0,73.0,1.0
2019-12-07,DocuSign,DocuSign Inc,6472.23,84.0,84.0,77.05,77.05,1.0
2019-12-08,DocuSign,DocuSign Inc,9187.24,77.0,77.0,119.31,119.31,1.0
2019-12-09,DocuSign,DocuSign Inc,4202.83,57.0,54.0,77.83,73.73,1.06
2019-12-10,DocuSign,DocuSign Inc,13703.26,132.0,124.0,110.51,103.81,1.06
2019-12-11,DocuSign,DocuSign Inc,9546.13,109.0,101.0,94.52,87.58,1.08
2019-12-12,DocuSign,DocuSign Inc,9208.44,126.0,118.0,78.04,73.08,1.07
2019-12-13,DocuSign,DocuSign Inc,10827.05,126.0,117.0,92.54,85.93,1.08
2019-12-14,DocuSign,DocuSign Inc,8161.43,84.0,84.0,97.16,97.16,1.0
2019-12-15,DocuSign,DocuSign Inc,5135.71,86.0,86.0,59.72,59.72,1.0
2019-12-16,DocuSign,DocuSign Inc,4301.36,64.0,64.0,67.21,67.21,1.0
2019-12-17,DocuSign,DocuSign Inc,6150.17,97.0,97.0,63.4,63.4,1.0
2019-12-18,DocuSign,DocuSign Inc,6355.18,65.0,65.0,97.77,97.77,1.0
2019-12-19,DocuSign,DocuSign Inc,9462.73,105.0,105.0,90.12,90.12,1.0
2019-12-20,DocuSign,DocuSign Inc,7529.02,70.0,70.0,107.56,107.56,1.0
2019-12-21,DocuSign,DocuSign Inc,9057.35,94.0,94.0,96.35,96.35,1.0
2019-12-22,DocuSign,DocuSign Inc,2160.82,47.0,47.0,45.97,45.97,1.0
2019-12-23,DocuSign,DocuSign Inc,8493.74,92.0,92.0,92.32,92.32,1.0
2019-12-24,DocuSign,DocuSign Inc,3179.58,64.0,64.0,49.68,49.68,1.0
2019-12-25,DocuSign,DocuSign Inc,6315.75,78.0,68.0,92.88,80.97,1.15
2019-12-26,DocuSign,DocuSign Inc,3560.91,105.0,69.0,51.61,33.91,1.52
2019-12-27,DocuSign,DocuSign Inc,4641.01,137.0,106.0,43.78,33.88,1.29
2019-12-28,DocuSign,DocuSign Inc,5697.62,115.0,79.0,72.12,49.54,1.46
2019-12-29,DocuSign,DocuSign Inc,5645.81,109.0,78.0,72.38,51.8,1.4
2019-12-30,DocuSign,DocuSign Inc,2773.39,66.0,45.0,61.63,42.02,1.47
2019-12-31,DocuSign,DocuSign Inc,4598.79,51.0,40.0,114.97,90.17,1.27
2020-01-01,DocuSign,DocuSign Inc,5273.72,93.0,93.0,56.71,56.71,1.0
2020-01-02,DocuSign,DocuSign Inc,5018.22,73.0,63.0,79.65,68.74,1.16
2020-01-03,DocuSign,DocuSign Inc,8045.68,122.0,122.0,65.95,65.95,1.0
2020-01-04,DocuSign,DocuSign Inc,11880.55,126.0,126.0,94.29,94.29,1.0
2020-01-05,DocuSign,DocuSign Inc,4897.85,77.0,71.0,68.98,63.61,1.08
2020-01-06,DocuSign,DocuSign Inc,9181.87,102.0,102.0,90.02,90.02,1.0
2020-01-07,DocuSign,DocuSign Inc,7922.74,106.0,106.0,74.74,74.74,1.0
2020-01-08,DocuSign,DocuSign Inc,11027.49,86.0,86.0,128.23,128.23,1.0
2020-01-09,DocuSign,DocuSign Inc,15053.21,94.0,94.0,160.14,160.14,1.0
2020-01-10,DocuSign,DocuSign Inc,9856.01,144.0,139.0,70.91,68.44,1.04
2020-01-11,DocuSign,DocuSign Inc,7441.76,75.0,70.0,106.31,99.22,1.07
2020-01-12,DocuSign,DocuSign Inc,7477.26,108.0,103.0,72.59,69.23,1.05
2020-01-13,DocuSign,DocuSign Inc,8346.96,104.0,99.0,84.31,80.26,1.05
2020-01-14,DocuSign,DocuSign Inc,17029.3,121.0,115.0,148.08,140.74,1.05
2020-01-15,DocuSign,DocuSign Inc,75945.12,223.0,165.0,460.27,340.56,1.35
2020-01-16,DocuSign,DocuSign Inc,15806.16,125.0,118.0,133.95,126.45,1.06
2020-01-17,DocuSign,DocuSign Inc,14400.64,109.0,109.0,132.12,132.12,1.0
2020-01-18,DocuSign,DocuSign Inc,5381.07,83.0,83.0,64.83,64.83,1.0
2020-01-19,DocuSign,DocuSign Inc,11084.2,113.0,113.0,98.09,98.09,1.0
2020-01-20,DocuSign,DocuSign Inc,5942.85,74.0,74.0,80.31,80.31,1.0
2020-01-21,DocuSign,DocuSign Inc,9222.91,100.0,99.0,93.16,92.23,1.01
2020-01-22,DocuSign,DocuSign Inc,11526.69,90.0,90.0,128.07,128.07,1.0
2020-01-23,DocuSign,DocuSign Inc,8167.54,107.0,107.0,76.33,76.33,1.0
2020-01-24,DocuSign,DocuSign Inc,13425.63,119.0,119.0,112.82,112.82,1.0
2020-01-25,DocuSign,DocuSign Inc,13625.15,83.0,82.0,166.16,164.16,1.01
2020-01-26,DocuSign,DocuSign Inc,2613.37,42.0,38.0,68.77,62.22,1.11
2020-01-27,DocuSign,DocuSign Inc,9817.4,138.0,135.0,72.72,71.14,1.02
2020-01-28,DocuSign,DocuSign Inc,9650.26,131.0,115.0,83.92,73.67,1.14
2020-01-29,DocuSign,DocuSign Inc,21247.97,140.0,134.0,158.57,151.77,1.04
2020-01-30,DocuSign,DocuSign Inc,13412.77,80.0,75.0,178.84,167.66,1.07
2020-01-31,DocuSign,DocuSign Inc,12236.78,81.0,79.0,154.9,151.07,1.03
2020-02-01,DocuSign,DocuSign Inc,17274.72,172.0,167.0,103.44,100.43,1.03
2020-02-02,DocuSign,DocuSign Inc,7668.99,68.0,66.0,116.2,112.78,1.03
2020-02-03,DocuSign,DocuSign Inc,8412.12,110.0,107.0,78.62,76.47,1.03
2020-02-04,DocuSign,DocuSign Inc,7865.9,103.0,102.0,77.12,76.37,1.01
2020-02-05,DocuSign,DocuSign Inc,11250.78,83.0,83.0,135.55,135.55,1.0
2020-02-06,DocuSign,DocuSign Inc,7914.21,107.0,107.0,73.96,73.96,1.0
2020-02-07,DocuSign,DocuSign Inc,9191.87,101.0,94.0,97.79,91.01,1.07
2020-02-08,DocuSign,DocuSign Inc,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-09,DocuSign,DocuSign Inc,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-10,DocuSign,DocuSign Inc,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-11,DocuSign,DocuSign Inc,33953.04,320.0,314.0,108.13,106.1,1.02
2020-02-12,DocuSign,DocuSign Inc,10716.56,140.0,140.0,76.55,76.55,1.0
2020-02-13,DocuSign,DocuSign Inc,13885.2,114.0,114.0,121.8,121.8,1.0
2020-02-14,DocuSign,DocuSign Inc,13200.15,89.0,89.0,148.32,148.32,1.0
2020-02-15,DocuSign,DocuSign Inc,9723.78,126.0,122.0,79.7,77.17,1.03
2020-02-16,DocuSign,DocuSign Inc,9879.26,79.0,79.0,125.05,125.05,1.0
2020-02-17,DocuSign,DocuSign Inc,24957.57,87.0,87.0,286.87,286.87,1.0
2020-02-18,DocuSign,DocuSign Inc,11210.81,83.0,81.0,138.41,135.07,1.02
2020-02-19,DocuSign,DocuSign Inc,9590.87,103.0,103.0,93.12,93.12,1.0
2020-02-20,DocuSign,DocuSign Inc,9597.93,93.0,87.0,110.32,103.2,1.07
2020-02-21,DocuSign,DocuSign Inc,16928.13,159.0,138.0,122.67,106.47,1.15
2020-02-22,DocuSign,DocuSign Inc,8310.74,139.0,108.0,76.95,59.79,1.29
2020-02-23,DocuSign,DocuSign Inc,5216.36,104.0,104.0,50.16,50.16,1.0
2020-02-24,DocuSign,DocuSign Inc,2709.67,42.0,41.0,66.09,64.52,1.02
2020-02-25,DocuSign,DocuSign Inc,6821.34,69.0,68.0,100.31,98.86,1.01
2020-02-26,DocuSign,DocuSign Inc,32310.42,93.0,93.0,347.42,347.42,1.0
2020-02-27,DocuSign,DocuSign Inc,6093.25,126.0,126.0,48.36,48.36,1.0
2020-02-28,DocuSign,DocuSign Inc,7418.47,76.0,76.0,97.61,97.61,1.0
2020-02-29,DocuSign,DocuSign Inc,15531.25,113.0,107.0,145.15,137.44,1.06
2020-03-01,DocuSign,DocuSign Inc,7140.15,112.0,112.0,63.75,63.75,1.0
2020-03-02,DocuSign,DocuSign Inc,6521.03,84.0,84.0,77.63,77.63,1.0
2020-03-03,DocuSign,DocuSign Inc,9610.98,89.0,89.0,107.99,107.99,1.0
2020-03-04,DocuSign,DocuSign Inc,8503.0,110.0,110.0,77.3,77.3,1.0
2020-03-05,DocuSign,DocuSign Inc,11018.63,90.0,78.0,141.26,122.43,1.15
2020-03-06,DocuSign,DocuSign Inc,21638.2,147.0,145.0,149.23,147.2,1.01
2020-03-07,DocuSign,DocuSign Inc,6110.12,84.0,83.0,73.62,72.74,1.01
2020-03-08,DocuSign,DocuSign Inc,11550.17,88.0,87.0,132.76,131.25,1.01
2020-03-09,DocuSign,DocuSign Inc,3641.77,69.0,69.0,52.78,52.78,1.0
2020-03-10,DocuSign,DocuSign Inc,9338.3,127.0,122.0,76.54,73.53,1.04
2020-03-11,DocuSign,DocuSign Inc,8097.28,76.0,76.0,106.54,106.54,1.0
2020-03-12,DocuSign,DocuSign Inc,11878.76,92.0,92.0,129.12,129.12,1.0
2020-03-13,DocuSign,DocuSign Inc,15766.34,137.0,137.0,115.08,115.08,1.0
2020-03-14,DocuSign,DocuSign Inc,25865.02,163.0,163.0,158.68,158.68,1.0
2020-03-15,DocuSign,DocuSign Inc,21811.99,148.0,145.0,150.43,147.38,1.02
2020-03-16,DocuSign,DocuSign Inc,12914.77,99.0,99.0,130.45,130.45,1.0
2020-03-17,DocuSign,DocuSign Inc,25000.73,157.0,130.0,192.31,159.24,1.21
2020-03-18,DocuSign,DocuSign Inc,17257.84,108.0,100.0,172.58,159.79,1.08
2020-03-19,DocuSign,DocuSign Inc,6456.31,97.0,96.0,67.25,66.56,1.01
2020-03-20,DocuSign,DocuSign Inc,15407.01,106.0,102.0,151.05,145.35,1.04
2020-03-21,DocuSign,DocuSign Inc,12698.78,139.0,135.0,94.07,91.36,1.03
2020-03-22,DocuSign,DocuSign Inc,17984.07,89.0,89.0,202.07,202.07,1.0
2020-03-23,DocuSign,DocuSign Inc,11161.89,95.0,94.0,118.74,117.49,1.01
2020-03-24,DocuSign,DocuSign Inc,17461.89,90.0,90.0,194.02,194.02,1.0
2020-03-25,DocuSign,DocuSign Inc,17952.43,117.0,114.0,157.48,153.44,1.03
2020-03-26,DocuSign,DocuSign Inc,6416.36,67.0,67.0,95.77,95.77,1.0
2020-03-27,DocuSign,DocuSign Inc,16452.75,167.0,161.0,102.19,98.52,1.04
2020-03-28,DocuSign,DocuSign Inc,15324.54,113.0,106.0,144.57,135.62,1.07
2020-03-29,DocuSign,DocuSign Inc,10008.53,105.0,98.0,102.13,95.32,1.07
2020-03-30,DocuSign,DocuSign Inc,3623.55,56.0,43.0,84.27,64.71,1.3
2020-03-31,DocuSign,DocuSign Inc,23050.76,107.0,97.0,237.64,215.43,1.1
2020-04-01,DocuSign,DocuSign Inc,14428.65,174.0,166.0,86.92,82.92,1.05
2020-04-02,DocuSign,DocuSign Inc,27320.96,155.0,132.0,206.98,176.26,1.17
2020-04-03,DocuSign,DocuSign Inc,11441.32,120.0,120.0,95.34,95.34,1.0
2020-04-04,DocuSign,DocuSign Inc,14325.81,118.0,118.0,121.41,121.41,1.0
2020-04-05,DocuSign,DocuSign Inc,9919.66,96.0,96.0,103.33,103.33,1.0
2020-04-06,DocuSign,DocuSign Inc,12687.84,110.0,99.0,128.16,115.34,1.11
2020-04-07,DocuSign,DocuSign Inc,13385.51,144.0,131.0,102.18,92.95,1.1
2020-04-08,DocuSign,DocuSign Inc,28264.2,144.0,141.0,200.46,196.28,1.02
2020-04-09,DocuSign,DocuSign Inc,11807.89,105.0,104.0,113.54,112.46,1.01
2020-04-10,DocuSign,DocuSign Inc,18481.63,169.0,164.0,112.69,109.36,1.03
2020-04-11,DocuSign,DocuSign Inc,11260.18,109.0,101.0,111.49,103.3,1.08
2020-04-12,DocuSign,DocuSign Inc,11815.98,123.0,111.0,106.45,96.06,1.11
2020-04-13,DocuSign,DocuSign Inc,5171.06,114.0,114.0,45.36,45.36,1.0
2020-04-14,DocuSign,DocuSign Inc,59533.73,132.0,131.0,454.46,451.01,1.01
2020-04-15,DocuSign,DocuSign Inc,10489.84,109.0,108.0,97.13,96.24,1.01
2020-04-16,DocuSign,DocuSign Inc,15835.29,139.0,139.0,113.92,113.92,1.0
2020-04-17,DocuSign,DocuSign Inc,34572.66,153.0,141.0,245.2,225.97,1.09
2020-04-18,DocuSign,DocuSign Inc,14979.42,123.0,120.0,124.83,121.78,1.02
2020-04-19,DocuSign,DocuSign Inc,20567.21,129.0,124.0,165.86,159.44,1.04
2020-04-20,DocuSign,DocuSign Inc,11967.04,127.0,127.0,94.23,94.23,1.0
2020-04-21,DocuSign,DocuSign Inc,17381.74,187.0,175.0,99.32,92.95,1.07
2020-04-22,DocuSign,DocuSign Inc,9228.96,96.0,96.0,96.14,96.14,1.0
2020-04-23,DocuSign,DocuSign Inc,25713.02,210.0,201.0,127.93,122.44,1.04
2020-04-24,DocuSign,DocuSign Inc,43899.71,137.0,131.0,335.11,320.44,1.05
2020-04-25,DocuSign,DocuSign Inc,10137.3,109.0,109.0,93.0,93.0,1.0
2020-04-26,DocuSign,DocuSign Inc,6820.25,90.0,83.0,82.17,75.78,1.08
2020-04-27,DocuSign,DocuSign Inc,11486.02,156.0,155.0,74.1,73.63,1.01
2020-04-28,DocuSign,DocuSign Inc,9630.24,111.0,111.0,86.76,86.76,1.0
2020-04-29,DocuSign,DocuSign Inc,9461.51,92.0,92.0,102.84,102.84,1.0
2020-04-30,DocuSign,DocuSign Inc,8232.64,98.0,94.0,87.58,84.01,1.04
2020-05-01,DocuSign,DocuSign Inc,29777.31,229.0,221.0,134.74,130.03,1.04
2020-05-02,DocuSign,DocuSign Inc,13192.32,116.0,110.0,119.93,113.73,1.05
2020-05-03,DocuSign,DocuSign Inc,13132.16,136.0,128.0,102.6,96.56,1.06
2020-05-04,DocuSign,DocuSign Inc,5184.66,100.0,99.0,52.37,51.85,1.01
2020-05-05,DocuSign,DocuSign Inc,14366.15,126.0,122.0,117.76,114.02,1.03
2020-05-06,DocuSign,DocuSign Inc,9538.44,129.0,125.0,76.31,73.94,1.03
2020-05-07,DocuSign,DocuSign Inc,15646.76,186.0,158.0,99.03,84.12,1.18
2020-05-08,DocuSign,DocuSign Inc,26344.49,161.0,151.0,174.47,163.63,1.07
2020-05-09,DocuSign,DocuSign Inc,18361.25,164.0,161.0,114.05,111.96,1.02
2020-05-10,DocuSign,DocuSign Inc,10348.21,112.0,109.0,94.94,92.39,1.03
2020-05-11,DocuSign,DocuSign Inc,12838.78,91.0,91.0,141.09,141.09,1.0
2020-05-12,DocuSign,DocuSign Inc,24192.39,202.0,172.0,140.65,119.76,1.17
2020-05-13,DocuSign,DocuSign Inc,12968.13,161.0,161.0,80.55,80.55,1.0
2020-05-14,DocuSign,DocuSign Inc,11906.69,130.0,126.0,94.5,91.59,1.03
2020-05-15,DocuSign,DocuSign Inc,12460.9,123.0,122.0,102.14,101.31,1.01
2020-05-16,DocuSign,DocuSign Inc,7676.79,111.0,110.0,69.79,69.16,1.01
2020-05-17,DocuSign,DocuSign Inc,13411.34,119.0,95.0,141.17,112.7,1.25
2020-05-18,DocuSign,DocuSign Inc,9137.24,99.0,98.0,93.24,92.3,1.01
2020-05-19,DocuSign,DocuSign Inc,16682.78,161.0,147.0,113.49,103.62,1.1
2020-05-20,DocuSign,DocuSign Inc,15974.91,130.0,129.0,123.84,122.88,1.01
2020-05-21,DocuSign,DocuSign Inc,27280.42,249.0,217.0,125.72,109.56,1.15
2020-05-22,DocuSign,DocuSign Inc,14676.09,134.0,132.0,111.18,109.52,1.02
2020-05-23,DocuSign,DocuSign Inc,35601.15,204.0,203.0,175.38,174.52,1.0
2020-05-24,DocuSign,DocuSign Inc,7733.37,80.0,79.0,97.89,96.67,1.01
2020-05-25,DocuSign,DocuSign Inc,5398.68,74.0,74.0,72.96,72.96,1.0
2020-05-26,DocuSign,DocuSign Inc,13190.81,105.0,103.0,128.07,125.63,1.02
2020-05-27,DocuSign,DocuSign Inc,12312.84,180.0,178.0,69.17,68.4,1.01
2020-05-28,DocuSign,DocuSign Inc,14136.05,156.0,154.0,91.79,90.62,1.01
2020-05-29,DocuSign,DocuSign Inc,11418.93,110.0,105.0,108.75,103.81,1.05
2020-05-30,DocuSign,DocuSign Inc,11916.87,88.0,86.0,138.57,135.42,1.02
2020-05-31,DocuSign,DocuSign Inc,4082.11,47.0,46.0,88.74,86.85,1.02
2020-06-01,DocuSign,DocuSign Inc,6368.95,134.0,134.0,47.53,47.53,1.0
2020-06-02,DocuSign,DocuSign Inc,20031.05,149.0,138.0,145.15,134.44,1.08
2020-06-03,DocuSign,DocuSign Inc,8320.76,148.0,148.0,56.22,56.22,1.0
2020-06-04,DocuSign,DocuSign Inc,15622.41,181.0,181.0,86.31,86.31,1.0
2020-06-05,DocuSign,DocuSign Inc,7085.41,82.0,81.0,87.47,86.41,1.01
2020-06-06,DocuSign,DocuSign Inc,14329.55,160.0,160.0,89.56,89.56,1.0
2020-06-07,DocuSign,DocuSign Inc,8989.63,104.0,98.0,91.73,86.44,1.06
2020-06-08,DocuSign,DocuSign Inc,9238.23,118.0,116.0,79.64,78.29,1.02
2020-06-09,DocuSign,DocuSign Inc,18431.97,176.0,174.0,105.93,104.73,1.01
